Date,Adj Close,Volume,Close_-1,Delta,Delta_Class_Numeric,Close_-1_Delta,AVG_Weighted_Future_Return,Gain_Run,Gain_Loss,7-Day_Delta_AVG,30-Day_Delta_AVG,7-Day_High,30-Day_High,365-Day_High,7-Day_Low,30-Day_Low,365-Day_Low,Diff_from_7-Day_High,Diff_from_7-Day_Low,7-Day_AVG_Price,30-Day_AVG_Price,50-Day_AVG_Price,100-Day_AVG_Price,7-Day_AG_to_30-Day_AVG,30-Day_AG_to_50-Day_AVG,50-Day_AG_to_100-Day_AVG,7_to_30_5-Day_AVG,30_to_50_5-Day_AVG,50_to_100_5-Day_AVG,Year,Month
2022-01-06,43160.929688,30208048289,43569.003906,-0.00936615899873269,0.0,-0.05073406062571509,-0.03487624170010664,0.0,1.0,-0.008796514751332224,-0.004518511228203615,47686.8125,50822.195313,67566.828125,43569.003906,43569.003906,29807.347656,-0.08635109746536324,0.0,46348.75669657144,48055.27148456669,51196.647422019945,54984.21761731994,-0.03551150030529552,-0.06135901656916173,-0.06888467926670865,-0.025447110973192726,-0.06748597294587425,-0.05531040201383273,2022,1
2022-01-05,43569.003906,36851084859,45897.574219,-0.05073406062571509,0.0,-0.012065555018763897,-0.02226668990627074,0.0,1.0,-0.004983403062068642,-0.002007846014172787,47686.8125,50822.195313,67566.828125,45897.574219,45897.574219,29807.347656,-0.03752060972831846,0.0,46759.57198685716,48289.05885436669,51528.49226577995,54970.88488294993,-0.03167356962003038,-0.06286683869391158,-0.06262210667519556,-0.020435672931225276,-0.07008591719162034,-0.04846303414858604,2022,1
2022-01-04,45897.574219,42494677905,46458.117188,-0.012065555018763897,0.0,-0.018736877459247212,-0.06749029918486818,0.0,0.0,-0.011868241719476477,-0.0014917434159496346,47686.8125,50822.195313,67566.828125,46306.445313,46202.144531,29807.347656,-0.02576593501610122,0.003275394472082699,47001.18359400002,48404.76796893335,51881.69820327994,54943.99453138994,-0.028996820640358616,-0.0670165078391127,-0.05573486882830262,-0.015037887762236888,-0.07231312905374056,-0.0414112562621047,2022,1
2022-01-03,46458.117188,33071628362,47345.21875,-0.018736877459247212,0.0,-0.007163274962024354,-0.03869936446895848,0.0,0.0,-0.00966698359911168,-0.00360206072866857,50640.417969,50822.195313,67566.828125,46306.445313,46202.144531,29807.347656,-0.06507053755000973,0.02243258859492676,47598.65513414288,48496.18750016669,52261.872656399944,54906.57929700994,-0.018507276804403,-0.07205415659310688,-0.04816739040150006,-0.009414082330058268,-0.07371933342327422,-0.03420458693416119,2022,1
2022-01-02,47345.21875,27951569547,47686.8125,-0.007163274962024354,0.0,0.029809396460247866,-0.047393529700398784,0.0,0.0,-0.007568172616373492,-0.005062813723577291,50809.515625,53598.246094,67566.828125,46306.445313,46202.144531,29807.347656,-0.06145902173221121,0.029809396460247866,48093.554687714306,48704.621744966695,52604.35882827995,54861.52460950994,-0.012546387495875347,-0.07413334503407662,-0.04114296489745619,-0.006153522538733058,-0.07412323863316493,-0.026881439906542386,2022,1
2022-01-01,47686.8125,24582667004,46306.445313,0.029809396460247866,1.0,-0.01847635290720018,-0.025044995731262176,0.0,0.0,-0.012929482895752508,-0.006494467131983642,50809.515625,56477.81640599999,67566.828125,46306.445313,46202.144531,29374.152344,-0.08862651526212033,0.0,48485.418527000016,48997.65520850002,52933.741406399946,54833.60746106994,-0.010454310095458283,-0.07435873779789222,-0.03464783994047519,-0.0045961147025149855,-0.07428745156733707,-0.019490446574714018,2022,1
2021-12-31,46306.445313,36974172400,47178.125,-0.01847635290720018,0.0,0.015791121253377012,0.012956678707349739,0.0,0.0,-0.010184076703900194,-0.005747371751236676,50822.195313,57229.828125,67566.828125,46444.710938,46202.144531,29001.720702999995,-0.07170233970723154,0.015791121253377012,49130.52566985716,49361.76796890003,53306.61171889994,54806.288086069944,-0.0046846437750884444,-0.07400289800451268,-0.02736321724278886,-0.006131440532802854,-0.07475580352614034,-0.012384357911035978,2021,12
2021-12-30,47178.125,26686491018,46444.710938,0.015791121253377012,1.0,-0.024042278800870006,-0.012737572027290232,0.0,1.0,-0.006106138033166374,-0.006735708792580499,50822.195313,57229.828125,67566.828125,46444.710938,46202.144531,28840.953125,-0.08613331927202812,0.0,49645.72767885716,49689.34466160003,53662.95382827995,54741.44359387995,-0.000877793479465524,-0.07404752968678102,-0.019701522188585053,-0.01149314219859691,-0.07568086144524669,-0.005820858821370378,2021,12
2021-12-29,46444.710938,30049226299,47588.855469,-0.024042278800870006,0.0,-0.060259425620618735,0.017526635743016133,0.0,0.0,-0.0035709455526830997,-0.0056093362286227764,50822.195313,57806.56640599999,67566.828125,47588.855469,46202.144531,27362.4375,-0.06362062528166561,0.0,49957.69921900002,50068.07317720003,54073.49617201994,54705.43449230995,-0.002204477847776946,-0.07407368264256046,-0.011551655263406034,-0.020497500831335315,-0.07648434987000231,9.10792184070721e-05,2021,12
2021-12-28,47588.855469,33430376883,50640.417969,-0.060259425620618735,0.0,-0.0033280706166936244,-0.0230216387114768,0.0,0.0,0.0113037669192786,-0.002120938373273353,50822.195313,57806.56640599999,67566.828125,48628.511719,46202.144531,27084.808594,-0.003576731443426985,0.04137297603566003,50150.23604928573,50390.05989593336,54473.05562513994,54702.14812511995,-0.004759348314784988,-0.07495440970493734,-0.004187998238314328,-0.03250352476410255,-0.07733340637839066,0.005249831579819068,2021,12
